Station,Battalion
1,Battalion 1
2,Battalion 2
3,Battalion 4
4,Battalion 1
5,Battalion 1
6,Battalion 3
7,Battalion 2
8,Battalion 4
9,Battalion 4
10,Battalion 2
11,Battalion 1
12,Battalion 3
13,Battalion 4
14,Battalion 2
15,Battalion 2
16,Battalion 3
17,Battalion 4
18,Battalion 3
19,Battalion 3
51,Battalion 1
52,Battalion 2
57,Battalion 2
81,DCFR
82,DCFR
83,DCFR
84,DCFR
85,DCFR
BAH,Bahama
EFD,Efland
HQ,Other
LEB,Lebanon
MV2,Other
R23,Other
RED,Redwood
